512  512
0.0  363834
151,0406
151,4875
151,937
152,3893
152,8442
153,3018
153,7622
154,2254
154,6913
155,1601
155,6318
156,1063
156,5837
157,064
157,5473
158,0336
158,5229
159,0153
159,5107
160,0092
160,5108
161,0156
161,5235
162,0347
162,5491
163,0668
163,5878
164,1122
164,6399
165,1711
165,7056
166,2437
166,7852
167,3303
167,8789
168,4312
168,9871
169,5467
170,11
170,6771
171,248
171,8226
172,4012
172,9837
173,5701
174,1605
174,755
175,3535
175,9561
176,5629
177,1739
177,7891
178,4086
179,0324
179,6607
180,2933
180,9304
181,5721
182,2183
182,8691
183,5246
184,1848
184,8498
185,5196
186,1942
186,8738
187,5584
188,248
188,9427
189,6425
190,3475
191,0578
191,7735
192,4945
193,2209
193,9529
194,6904
195,4335
196,1824
196,937
197,6974
198,4637
199,236
200,0143
200,7987
201,5893
202,3862
203,1894
203,999
204,815
205,6376
206,4669
207,3028
208,1456
208,9952
209,8518
210,7155
211,5863
212,4643
213,3496
214,2424
215,1426
216,0505
216,966
217,8893
218,8206
219,7598
220,7071
221,6626
222,6264
223,5987
224,5794
225,5689
226,567
227,5741
228,5901
229,6153
230,6497
231,6934
232,7467
233,8095
234,8821
235,9646
237,0571
238,1598
239,2728
240,3963
241,5303
242,6751
243,8308
244,9976
246,1755
247,3649
248,5658
249,7784
251,0029
252,2395
253,4883
254,7496
256,0235
257,3101
258,6098
259,9226
261,2489
262,5888
263,9425
265,3102
266,6921
268,0885
269,4997
270,9257
272,367
273,8236
275,2959
276,7842
278,2886
279,8094
281,347
282,9016
284,4734
286,0628
287,6701
289,2955
290,9394
292,6021
294,2839
295,9851
297,7061
299,4473
301,2089
302,9914
304,7951
306,6205
308,4678
310,3375
312,23
314,1457
316,0851
318,0486
320,0366
322,0497
324,0882
326,1527
328,2437
330,3616
332,5071
334,6806
336,8827
339,114
341,375
343,6664
345,9888
348,3427
350,7289
353,1481
355,6008
358,0878
360,6099
363,1678
365,7621
368,3939
371,0638
373,7726
376,5213
379,3107
382,1418
385,0154
387,9326
390,8944
393,9017
396,9556
400,0573
403,2078
406,4083
409,66
412,9642
416,3222
419,7352
423,2046
426,7318
430,3184
433,9657
437,6754
441,449
445,2883
449,195
453,1708
457,2176
461,3374
465,5321
469,8037
474,1545
478,5866
483,1024
487,7041
492,3944
497,1758
502,051
507,0227
512,0938
517,2674
522,5467
527,9348
533,4351
539,0513
544,787
550,6461
556,6326
562,7507
569,0047
575,3993
581,9393
588,6297
595,4757
602,4828
609,6568
617,0037
624,5298
632,2418
640,1466
648,2516
656,5645
665,0933
673,8466
682,8335
692,0632
701,5459
711,2921
721,3129
731,6201
742,2261
753,1441
764,3881
775,973
787,9144
800,2291
812,9348
826,0505
839,5964
853,594
868,0662
883,0375
898,5344
914,5849
931,2193
948,4699
966,3718
984,9624
1004,282
1024,375
1045,289
1067,074
1089,787
1113,487
1138,241
1164,121
1191,205
1219,58
1249,339
1280,587
1313,438
1348,018
1384,469
1422,946
1463,623
1506,694
1552,377
1600,917
1652,59
1707,71
1766,633
1829,769
1897,584
1970,619
2049,502
2134,963
2227,862
2329,212
2440,224
2562,347
2697,338
2847,342
3015,014
3203,668
3417,507
3661,935
3944,02
4273,191
4662,311
5129,397
5700,493
6414,69
7333,479
8559,469
10277,66
12858,9
17171,53
25836,67
52155,52
-2794671
-50278,86
-25367,63
-16963,08
-12741,64
-10202,62
-8507,357
-7295,193
-6385,377
-5677,332
-5110,637
-4646,806
-4260,163
-3932,919
-3652,363
-3409,169
-3196,34
-3008,522
-2841,552
-2692,141
-2557,657
-2435,97
-2325,336
-2224,315
-2131,706
-2046,5
-1967,844
-1895,01
-1827,376
-1764,403
-1705,625
-1650,637
-1599,084
-1550,654
-1505,071
-1462,092
-1421,499
-1383,099
-1346,719
-1312,204
-1279,414
-1248,223
-1218,516
-1190,191
-1163,152
-1137,315
-1112,6
-1088,937
-1066,26
-1044,507
-1023,625
-1003,561
-984,2686
-965,7039
-947,8266
-930,5991
-913,9867
-897,957
-882,4799
-867,5272
-853,0729
-839,0923
-825,5625
-812,4621
-799,7711
-787,4704
-775,5423
-763,9702
-752,7384
-741,832
-731,2372
-720,9407
-710,9302
-701,1939
-691,7206
-682,4999
-673,5219
-664,7769
-656,2561
-647,951
-639,8535
-631,9558
-624,2508
-616,7313
-609,3909
-602,2231
-595,222
-588,3818
-581,6971
-575,1625
-568,7731
-562,5241
-556,4109
-550,4292
-544,5747
-538,8435
-533,2316
-527,7354
-522,3513
-517,076
-511,9062
-506,8388
-501,8706
-496,999
-492,221
-487,534
-482,9354
-478,4228
